x,y,area_px,cell_type
546,427,,ST
634,427,,ST
722,427,,ST
810,427,,ST
1013,427,,ST
1101,427,,ST
1418,427,,ST
1506,427,,ST
1630,427,,ST
1718,427,,ST
484,431,,ST
572,431,,ST
660,431,,ST
749,431,,ST
837,431,,ST
1039,431,,ST
1128,431,,ST
1445,431,,ST
1568,431,,ST
1656,431,,ST
1744,431,,ST
511,436,,ST
599,436,,ST
687,436,,ST
775,436,,ST
863,436,,ST
1061,436,,ST
1379,436,,ST
1467,436,,ST
1590,436,,ST
1678,436,,ST
1766,436,,ST
537,440,,ST
625,440,,ST
713,440,,ST
801,440,,ST
942,440,,ST
1075,440,,ST
1410,440,,ST
1498,440,,ST
1621,440,,ST
1709,440,,ST
480,445,,ST
568,445,,ST
656,445,,ST
744,445,,ST
832,445,,ST
973,445,,ST
1079,445,,ST
1405,445,,ST
1559,445,,ST
1647,445,,ST
1736,445,,ST
506,449,,ST
594,449,,ST
682,449,,ST
771,449,,ST
859,449,,ST
978,449,,ST
1070,449,,ST
1396,449,,ST
1555,449,,ST
1643,449,,ST
1731,449,,ST
493,453,,ST
581,453,,ST
669,453,,ST
757,453,,ST
846,453,,ST
942,453,,ST
1031,453,,ST
1119,453,,ST
1480,453,,ST
1586,453,,ST
1674,453,,ST
1762,453,,ST
502,458,,ST
590,458,,ST
678,458,,ST
766,458,,ST
854,458,,ST
942,458,,ST
1031,458,,ST
1119,458,,ST
1432,458,,ST
1564,458,,ST
1652,458,,ST
1740,458,,ST
458,462,,ST
546,462,,ST
634,462,,ST
722,462,,ST
810,462,,ST
898,462,,ST
987,462,,ST
1075,462,,ST
1163,462,,ST
1515,462,,ST
1603,462,,ST
1692,462,,ST
1780,462,,ST
462,467,,ST
550,467,,ST
638,467,,ST
727,467,,ST
815,467,,ST
903,467,,ST
991,467,,ST
1079,467,,ST
1167,467,,ST
1511,467,,ST
1599,467,,ST
1687,467,,ST
1775,467,,ST
330,471,,ST
515,471,,ST
603,471,,ST
691,471,,ST
779,471,,ST
868,471,,ST
956,471,,ST
1044,471,,ST
1132,471,,ST
1427,471,,ST
1559,471,,ST
1647,471,,ST
1736,471,,ST
1824,471,,ST
471,475,,ST
608,475,,ST
696,475,,ST
784,475,,ST
872,475,,ST
960,475,,ST
1048,475,,ST
1136,475,,ST
1427,475,,ST
1559,475,,ST
1647,475,,ST
1736,475,,ST
1824,475,,ST
458,480,,ST
546,480,,ST
682,480,,ST
771,480,,ST
859,480,,ST
